words	nodeTypes	synsetCount	units
switch	NOUN	14	batmanforever
launcher	NOUN	2	batmanforever
winch	NOUN	2	batmanforever
speed	NOUN	10	batmanforever
foot	NOUN	14	batmanforever
hand	NOUN	16	batmanforever
head	NOUN	42	batmanforever
bottom	NOUN	12	batmanforever
gantry	NOUN	1	batmanforever
construction	NOUN	7	batmanforever
hook	NOUN	20	batmanforever
mid	NOUN	1	batmanforever
-	NOUN	0	batmanforever
air	NOUN	15	batmanforever
nose	NOUN	14	batmanforever
ring	NOUN	15	batmanforever
scaffolding	NOUN	2	batmanforever
end	NOUN	18	batmanforever
gantry	NOUN	1	batmanforever
nun	NOUN	3	batmanforever
-	NOUN	0	batmanforever
chuck	NOUN	7	batmanforever
machine	NOUN	8	batmanforever
pistol	NOUN	1	batmanforever
nun-	NOUN	0	batmanforever
chuck	NOUN	7	batmanforever
face	NOUN	22	batmanforever
stick	NOUN	25	batmanforever
move	NOUN	21	batmanforever
weapon	NOUN	2	batmanforever
assailant	NOUN	1	batmanforever
chopper	NOUN	4	batmanforever
helicopter	NOUN	1	batmanforever
face	NOUN	22	batmanforever
chopper	NOUN	4	batmanforever
cargo	NOUN	1	batmanforever
bay	NOUN	10	batmanforever
face	NOUN	22	batmanforever
pilot	NOUN	8	batmanforever
helicopter	NOUN	1	batmanforever
abyss	NOUN	1	batmanforever
building	NOUN	14	batmanforever
tension	NOUN	6	batmanforever
wire	NOUN	9	batmanforever
wire	NOUN	9	batmanforever
bow	NOUN	14	batmanforever
arrow	NOUN	2	batmanforever
air	NOUN	15	batmanforever
chain	NOUN	12	batmanforever
link	NOUN	13	batmanforever
bank	NOUN	18	batmanforever
wall	NOUN	9	batmanforever
anchor	NOUN	5	batmanforever
cable	NOUN	8	batmanforever
hitch	NOUN	12	batmanforever
safe	NOUN	7	batmanforever
helicopter	NOUN	1	batmanforever
chopper	NOUN	4	batmanforever
bank	NOUN	18	batmanforever
tether	NOUN	2	batmanforever
face	NOUN	22	batmanforever
fury	NOUN	4	batmanforever
face	NOUN	22	batmanforever
man	NOUN	13	batmanforever
job	NOUN	17	batmanforever
top	NOUN	22	batmanforever
night	NOUN	8	batmanforever
compartment	NOUN	2	batmanforever
utility	NOUN	8	batmanforever
belt	NOUN	10	batmanforever
delivery	NOUN	7	batmanforever
mechanism	NOUN	5	batmanforever
acetylene	NOUN	1	batmanforever
torch	NOUN	5	batmanforever
hand	NOUN	16	batmanforever
flame	NOUN	4	batmanforever
chain	NOUN	12	batmanforever
site	NOUN	4	batmanforever
torch	NOUN	5	batmanforever
link	NOUN	13	batmanforever
winch	NOUN	2	batmanforever
chain	NOUN	12	batmanforever
chopper	NOUN	4	batmanforever
swing	NOUN	22	batmanforever
pendulum	NOUN	1	batmanforever
anchor	NOUN	5	batmanforever
line	NOUN	36	batmanforever
hole	NOUN	10	batmanforever
bank	NOUN	18	batmanforever
wall	NOUN	9	batmanforever
hole	NOUN	10	batmanforever
floor	NOUN	12	batmanforever
place	NOUN	32	batmanforever
face	NOUN	22	batmanforever
team	NOUN	3	batmanforever
helicopter	NOUN	1	batmanforever
face	NOUN	22	batmanforever
side	NOUN	14	batmanforever
chopper	NOUN	4	batmanforever
face	NOUN	22	batmanforever
money	NOUN	3	batmanforever
face	NOUN	22	batmanforever
control	NOUN	19	batmanforever
pilot	NOUN	8	batmanforever
face	NOUN	22	batmanforever
face	NOUN	22	batmanforever
throttle	NOUN	5	batmanforever
chopper	NOUN	4	batmanforever
sky	NOUN	2	batmanforever
rocket	NOUN	7	batmanforever
chain	NOUN	12	batmanforever
chopper	NOUN	4	batmanforever
wing	NOUN	12	batmanforever
night	NOUN	8	batmanforever
crawl	NOUN	8	batmanforever
bumper-	NOUN	0	batmanforever
bumper	NOUN	2	batmanforever
traffic	NOUN	6	batmanforever
neon	NOUN	1	batmanforever
sign	NOUN	20	batmanforever
billboard	NOUN	1	batmanforever
helicopter	NOUN	1	batmanforever
view	NOUN	13	batmanforever
life	NOUN	14	batmanforever
city	NOUN	3	batmanforever
series	NOUN	7	batmanforever
shot	NOUN	38	batmanforever
street	NOUN	5	batmanforever
folk	NOUN	4	batmanforever
wonder	NOUN	6	batmanforever
knife	NOUN	4	batmanforever
couple	NOUN	9	batmanforever
hand	NOUN	16	batmanforever
work	NOUN	34	batmanforever
steak	NOUN	1	batmanforever
smoking	NOUN	5	batmanforever
barbecue	NOUN	4	batmanforever
chopper	NOUN	4	batmanforever
_	NOUN	0	batmanforever
ad	NOUN	2	batmanforever
blade	NOUN	9	batmanforever
smoke	NOUN	10	batmanforever
chopper	NOUN	4	batmanforever
square	NOUN	25	batmanforever
time	NOUN	15	batmanforever
set	NOUN	45	batmanforever
tooth	NOUN	5	batmanforever
time	NOUN	15	batmanforever
cap	NOUN	11	batmanforever
tube	NOUN	9	batmanforever
toothpaste	NOUN	1	batmanforever
